Date,Time,Location,Location Type,Pedestrian,Bike,Motorcycle,Veh,Age,Gender ,Latitude,Longitude
1/4/2010,,E Hastings St/Kootenay St,,1,,,0,60-69,F,49.28112053,-123.0256963
1/10/2010,,3100 Blk E 49th Ave,,1,,,0,20-29,F,49.22473621,-123.0399358
1/19/2010,,500 Blk E King Edward Ave,,1,,,0,20-29,M,49.24867441,-123.0930922
4/29/2010,,Powell St/Hawks Ave,,,,,1,90-99,M,49.28295769,-123.0870805
6/12/2010,,4900 Blk Oak St,,,,,1,50-59,M,49.23954576,-123.1278831
7/21/2010,,E 8th Ave/Quebec St,,,1,,0,20-29,M,49.26373392,-123.1029292
8/24/2010,,2150 Hemlock St,,,,1,0,40-49,M,49.26664189,-123.1359809
10/21/2010,,Eton St/N Renfrew St,,1,,,0,70-79,M,49.28770548,-123.0440671
11/3/2010,,1150 Station St,,1,,,0,80-89,F,49.2735596,-123.0986099
09-139072,,3700 Blk Arbutus St,,,,,1,20-29,M,49.25303763,-123.1530513
09-14860,,W King Edward Av/Arbutus St,,1,,,0,40-49,F,49.25154824,-123.153109
09-151434,,Expo Blvd/Abbott St,,1,,,0,0-10,F,49.27864779,-123.1076207
09-173786,,Trans Canada Hwy/McGill St Off Ramp,,,,,1,30-39,M,,
09-180113,,Denman St/Davie St,,1,,,0,70-79,F,49.28725357,-123.1418096
09-191319,,Nelson St/Denman St,,1,,,0,70-79,M,49.28936538,-123.1386213
09-210508,,300 Block Prior St,,1,,,0,70-79,M,49.27669972,-123.0962071
09-21553,,1500 Blk E Broadway,,1,,,0,80-89,M,49.2623348,-123.0716968
09-217975,,Cambie St/Dunsmuir St,,,,1,0,30-39,M,49.28046912,-123.1115363
09-22698,,W 4th Av/Anderson St,,1,,,0,20-29,F,,
09-22698,,W 4th Av/Anderson St,,1,,,0,30-39,M,,
09-23437,,1588 Rand Av,,1,,,0,70-79,M,49.20506731,-123.1419344
09-23636,,1100 Blk Davie St,,1,,,0,30-39,M,49.28108359,-123.1322781
09-64198,,Granville St/W 49th Av,,,,1,0,20-29,M,49.22696578,-123.1398433
09-85785,,W 70th Av/Heather St,,,,1,0,40-49,M,49.20837856,-123.1241998
09-98997,,Point Grey Rd/Bayswater St,,,,,1,90-99,F,49.27108036,-123.1709708
2/1/2018,5:57:00 PM,E King Edward Ave at Inverness St,Intersection,1,,,0,50-59,M,49.24852516,-123.0800274
3/4/2018,12:54:00 AM,4200 Block W 16th Ave,Close  to Intersection,,,,1,20-29,M,49.2581778,-123.2016887
4/4/2018,9:15:00 PM,E 12th Ave / Clark Dr,Intersection,1,,,0,20-29,F,49.2596221,-123.0775552
4/9/2018,3:00:00 PM,W King Edward Av/Crown St,Intersection,,,,1,0-10,M,49.25009298,-123.1936092
